"Date","66 m","78 m","92 m","110 m","131 m","156 m","186 m","266 m","380 m"
2015-09-19,4.43,4.58,4.74,5.76,6.78,8.41,9.58,8.5,6.16
2015-09-20,4.42,4.55,4.65,5.69,6.78,8.38,9.58,8.57,6.17
2015-09-21,4.39,4.5,4.53,5.63,6.68,8.32,9.47,8.61,6.2
2015-09-22,4.35,4.46,4.48,5.62,6.65,8.31,9.34,8.61,6.21
2015-09-23,4.32,4.37,4.53,5.62,6.59,8.3,9.2,8.67,6.21
2015-09-24,4.25,4.3,4.55,5.61,6.57,8.27,9.13,8.73,6.24
2015-09-25,4.21,4.24,4.42,5.53,6.55,8.21,9.12,8.78,6.26
2015-09-26,4.15,4.2,4.28,5.47,6.46,8.1,9.01,8.79,6.27
2015-09-27,4.12,4.15,4.38,5.49,6.37,8.07,8.9,8.83,6.28
2015-09-28,4.1,4.09,4.37,5.45,6.3,8.02,8.8,8.89,6.31
2015-09-29,4.05,4.05,4.25,5.39,6.26,7.95,8.69,8.89,6.36
2015-09-30,4.01,3.99,4.12,5.31,6.19,7.86,8.57,8.9,6.37
2015-10-01,3.9,3.95,4.01,5.24,6.13,7.81,8.46,8.88,6.38
2015-10-02,3.86,3.89,3.95,5.15,6.12,7.85,8.45,8.88,6.37
2015-10-03,3.83,3.9,3.96,5.14,6.2,7.86,8.64,8.83,6.37
2015-10-04,3.95,3.98,4.07,5.15,6.35,7.77,9.02,8.82,6.35
2015-10-05,3.94,3.96,3.96,5.1,6.38,7.77,9.23,8.82,6.4
2015-10-06,3.88,3.91,3.85,5.04,6.33,7.77,9.23,8.84,6.46
2015-10-07,3.84,3.87,3.69,4.99,6.26,7.73,9.15,8.85,6.5
2015-10-08,3.83,3.84,3.59,4.97,6.23,7.71,9.1,8.86,6.52
2015-10-09,3.76,3.8,3.47,4.9,6.18,7.63,9.04,8.88,6.58
2015-10-10,3.76,3.81,3.47,4.91,6.12,7.57,8.96,8.89,6.58
2015-10-11,3.73,3.77,3.38,4.77,6.06,7.48,8.89,8.89,6.62
2015-10-12,3.64,3.77,3.33,4.7,5.96,7.33,8.65,8.86,6.67
2015-10-13,3.64,3.74,3.44,4.73,5.88,7.39,8.54,8.93,6.62
2015-10-14,3.68,3.77,3.39,4.65,5.88,7.41,8.55,8.98,6.6
2015-10-15,3.68,3.7,3.29,4.49,5.8,7.36,8.58,9.03,6.64
