"Date","34 m","40 m","47 m","56 m","66 m","78 m","92 m","110 m"
2005-04-18,2.92,2.89,2.64,3.05,3.27,2.81,3.58,4.12
2005-04-19,2.93,2.96,2.75,3.1,3.38,2.81,3.58,4.04
2005-04-20,2.93,3.02,2.77,3.11,3.36,2.81,3.57,3.94
2005-04-21,2.95,3.05,2.78,3.15,3.34,2.79,3.52,3.81
2005-04-22,3,3.08,2.77,3.19,3.33,2.79,3.5,3.72
2005-04-23,3.05,3.1,2.75,3.17,3.33,2.79,3.46,3.66
2005-04-24,3.09,3.1,2.74,3.19,3.33,2.81,3.45,3.65
2005-04-25,3.21,3.12,2.74,3.2,3.32,2.82,3.43,3.66
2005-04-26,3.43,3.21,2.81,3.21,3.31,2.81,3.4,3.68
2005-04-27,3.53,3.29,2.87,3.22,3.3,2.83,3.44,3.72
2005-04-28,3.62,3.37,2.91,3.22,3.27,2.85,3.45,3.75
2005-04-29,4.02,3.6,3.04,3.22,3.24,2.85,3.45,3.79
2005-04-30,4.09,3.77,3.29,3.22,3.22,2.83,3.42,3.76
2005-05-01,4.05,3.84,3.23,3.21,3.21,2.87,3.45,3.71
2005-05-02,4.2,3.9,3.22,3.21,3.21,2.87,3.39,3.61
2005-05-03,4.22,3.92,3.2,3.22,3.21,2.9,3.39,3.56
2005-05-04,4.18,3.83,3.09,3.22,3.21,2.96,3.4,3.59
2005-05-05,4.14,3.74,3.04,3.21,3.2,3,3.4,3.61
2005-05-06,4.05,3.62,2.99,3.19,3.18,3.03,3.43,3.63
2005-05-07,3.97,3.51,2.96,3.15,3.14,3.02,3.44,3.67
2005-05-08,4.1,3.56,2.91,3.1,3.08,2.98,3.48,3.79
2005-05-09,4.42,3.96,3.11,3.06,3.02,2.87,3.49,4.05
2005-05-10,4.58,4.17,3.44,3.06,2.99,2.82,3.67,4.26
2005-05-11,4.61,4.24,3.54,3.06,2.97,2.8,3.77,4.38
2005-05-12,4.62,4.25,3.61,3.06,2.96,2.77,3.78,4.41
2005-05-13,4.7,4.3,3.74,3.09,2.96,2.76,3.79,4.35
2005-05-14,4.7,4.35,3.65,3.11,2.97,2.8,3.82,4.32
2005-05-15,4.66,4.32,3.46,3.11,2.97,2.82,3.81,4.35
2005-05-16,4.65,4.25,3.33,3.09,2.97,2.82,3.8,4.39
2005-05-17,4.66,4.19,3.28,3.07,2.97,2.81,3.81,4.45
2005-05-18,4.69,4.18,3.3,3.05,2.96,2.79,3.87,4.55
2005-05-19,4.7,4.17,3.27,3.03,2.95,2.8,3.94,4.65
2005-05-20,4.72,4.15,3.31,3.01,2.93,2.79,3.98,4.75
2005-05-21,4.77,4.19,3.38,2.99,2.92,2.8,4.06,4.79
2005-05-22,4.8,4.22,3.23,2.96,2.91,2.86,4.12,4.82
2005-05-23,4.93,4.24,3.25,2.92,2.87,2.83,4.07,4.93
2005-05-24,4.98,4.33,3.56,2.93,2.83,2.75,4.06,4.99
2005-05-25,4.96,4.39,3.82,2.98,2.81,2.72,4.15,5
2005-05-26,4.94,4.47,4.11,3.17,3,2.68,4.16,4.96
2005-05-27,4.9,4.6,4.53,3.69,3.81,2.62,4.09,4.9
2005-05-28,4.86,4.67,4.7,3.88,3.84,2.58,4.03,4.8
2005-05-29,4.85,4.73,4.62,3.94,3.72,2.56,3.95,4.73
2005-05-30,4.89,4.79,4.34,3.95,3.67,2.52,3.84,4.65
2005-05-31,4.93,4.83,4.21,3.99,3.67,2.47,3.75,4.58
2005-06-01,4.97,4.88,4.23,4.06,3.7,2.44,3.8,4.55
2005-06-02,5,4.93,4.36,4.13,3.75,2.44,3.87,4.53
2005-06-03,5.03,4.98,4.43,4.2,3.79,2.47,3.98,4.53
2005-06-04,5.07,5.02,4.42,4.24,3.82,2.49,3.99,4.45
2005-06-05,5.11,5.04,4.29,4.28,3.87,2.51,3.99,4.38
2005-06-06,5.14,5.06,4.18,4.32,3.92,2.52,3.93,4.34
2005-06-07,5.2,5.12,4.27,4.4,3.99,2.51,3.86,4.29
2005-06-08,5.25,5.22,4.63,4.54,4.1,2.52,3.78,4.12
2005-06-09,5.27,5.27,4.58,4.59,4.11,2.55,3.81,4.06
2005-06-10,5.36,5.33,4.42,4.62,4.17,2.56,3.71,4.07
2005-06-11,5.48,5.39,4.5,4.67,4.23,2.55,3.61,3.99
2005-06-12,5.55,5.43,4.48,4.72,4.27,2.55,3.59,4
2005-06-13,5.64,5.55,4.67,4.79,4.37,2.56,3.49,3.95
2005-06-14,5.69,5.63,4.71,4.83,4.39,2.56,3.5,3.96
2005-06-15,5.77,5.69,4.7,4.83,4.39,2.56,3.41,3.9
2005-06-16,5.86,5.76,4.83,4.85,4.41,2.56,3.35,3.81
2005-06-17,5.93,5.8,4.94,4.85,4.42,2.56,3.3,3.74
2005-06-18,5.94,5.8,4.86,4.82,4.4,2.55,3.28,3.68
2005-06-19,5.91,5.7,4.63,4.77,4.39,2.55,3.25,3.68
2005-06-20,5.86,5.55,4.44,4.73,4.39,2.57,3.26,3.75
2005-06-21,5.88,5.49,4.41,4.69,4.39,2.6,3.29,3.83
2005-06-22,5.99,5.47,4.37,4.66,4.36,2.61,3.36,3.91
2005-06-23,6.06,5.45,4.28,4.61,4.32,2.65,3.49,4.06
2005-06-24,6.09,5.43,4.16,4.56,4.3,2.68,3.62,4.33
2005-06-25,6.16,5.56,4.27,4.55,4.31,2.68,3.72,4.61
2005-06-26,6.21,5.71,4.32,4.57,4.33,2.72,3.92,4.87
2005-06-27,6.17,5.73,4.13,4.57,4.33,2.76,4.09,5.05
2005-06-28,6.22,5.75,4.17,4.6,4.37,2.77,4.12,5.1
2005-06-29,6.24,5.83,4.3,4.66,4.4,2.78,4.2,5.05
2005-06-30,6.19,5.84,4.27,4.7,4.42,2.79,4.2,4.98
2005-07-01,6.09,5.69,4.1,4.72,4.49,2.82,4.19,4.99
2005-07-02,6.12,5.6,4.06,4.73,4.55,2.8,4.14,4.97
2005-07-03,6.29,5.71,4.26,4.79,4.62,2.78,4.1,4.89
2005-07-04,6.31,5.76,4.21,4.8,4.69,2.83,4.17,4.96
2005-07-05,6.4,5.81,4.28,4.8,4.73,2.82,4.12,5
2005-07-06,6.48,5.89,4.37,4.76,4.68,2.81,4.13,5.06
2005-07-07,6.55,5.99,4.46,4.74,4.57,2.77,4.13,5.12
2005-07-08,6.6,6.07,4.53,4.72,4.44,2.74,4.13,5.16
2005-07-09,6.62,6.15,4.55,4.71,4.33,2.71,4.12,5.13
2005-07-10,6.67,6.17,4.6,4.69,4.24,2.68,4.08,5.05
2005-07-11,6.76,6.3,4.79,4.7,4.17,2.65,4.02,4.9
2005-07-12,6.72,6.37,4.71,4.68,4.12,2.64,4,4.78
2005-07-13,6.73,6.33,4.62,4.66,4.1,2.63,3.91,4.59
2005-07-14,6.74,6.24,4.52,4.63,4.09,2.64,3.87,4.47
2005-07-15,6.78,6.1,4.47,4.64,4.12,2.66,3.8,4.38
2005-07-16,6.82,5.95,4.44,4.65,4.13,2.69,3.79,4.4
2005-07-17,6.84,5.83,4.36,4.64,4.14,2.72,3.82,4.54
