"Date","6 m","8 m","10 m","16 m","22 m"
2000-11-14,9.752,9.741,9.26,8.932,8.893
2000-11-15,9.721,9.652,9.223,8.937,8.915
2000-11-16,9.548,9.452,9.226,8.959,8.958
2000-11-17,8.993,9.001,8.929,8.913,8.976
2000-11-18,8.745,8.724,8.774,8.739,8.94
2000-11-19,8.284,8.063,8.457,8.277,8.829
2000-11-20,8.196,7.87,8.377,8.212,8.858
2000-11-21,8.113,7.7,8.248,8.368,8.813
2000-11-22,7.883,7.455,8.159,8.409,8.833
2000-11-23,7.44,7.058,7.836,8.392,8.922
2000-11-24,7.094,6.687,7.496,8.316,8.792
2000-11-25,6.966,6.454,7.332,8.179,8.611
2000-11-26,6.811,6.247,7.147,8.057,8.489
2000-11-27,7.105,6.339,7.067,7.879,8.255
2000-11-28,7.355,6.548,7.113,7.832,8.172
2000-11-29,7.304,6.687,7.214,7.826,8.286
2000-11-30,7.241,6.671,7.168,7.757,8.237
2000-12-01,6.662,6.298,6.591,7.363,7.943
2000-12-02,6.386,5.936,6.275,6.742,7.441
2000-12-03,5.965,5.31,5.892,6.312,6.971
2000-12-04,5.575,4.673,5.588,5.923,6.344
2000-12-05,5.4,4.469,5.441,5.704,6.145
2000-12-06,5.25,4.419,5.149,5.324,5.987
2000-12-07,4.567,4.159,4.742,4.7,5.411
2000-12-08,4.023,3.637,4.222,4.225,4.991
2000-12-09,3.656,2.818,3.668,3.723,4.255
2000-12-10,3.24,1.832,3.074,3.268,3.426
2000-12-11,3.235,1.472,2.821,3.1,3.109
2000-12-12,3.24,1.737,2.801,3.01,3.289
2000-12-13,2.945,1.948,2.601,2.653,2.969
2000-12-14,2.496,1.79,2.307,2.468,2.851
2000-12-15,2.451,1.725,2.12,2.352,3.012
2000-12-16,2.356,1.673,2.043,2.309,3.177
2000-12-17,2.503,1.691,1.96,2.372,3.286
2000-12-18,3.209,1.899,2.016,2.397,2.931
2000-12-19,2.797,1.937,2.051,2.066,2.299
2000-12-20,2.45,1.896,2.04,2.11,2.613
2000-12-21,2.185,1.751,1.945,2.002,2.38
2000-12-22,2.022,1.555,1.861,1.937,2.343
2000-12-23,1.966,1.465,1.786,1.967,2.684
2000-12-24,1.54,0.889,1.366,1.573,1.962
2000-12-25,1.239,0.475,1.096,1.42,1.731
2000-12-26,0.811,-0.043,0.685,1.157,1.424
2000-12-27,0.596,-0.455,0.412,0.912,1.041
2000-12-28,0.642,-0.409,0.354,0.837,0.864
2000-12-29,0.656,-0.278,0.313,0.831,0.815
2000-12-30,0.779,-0.088,0.357,0.877,0.833
2000-12-31,0.866,0.083,0.412,0.865,0.999
2001-01-01,0.892,0.185,0.408,0.79,1.039
2001-01-02,0.778,0.191,0.383,0.705,0.924
2001-01-03,0.635,0.146,0.306,0.651,0.916
2001-01-04,0.486,0.049,0.227,0.589,0.968
2001-01-05,0.395,-0.058,0.101,0.473,0.93
2001-01-06,0.395,-0.046,0.103,0.452,1.082
2001-01-07,0.489,-0.011,0.074,0.577,1.338
2001-01-08,0.309,-0.05,0.044,0.533,1.428
2001-01-09,0.333,-0.009,0.118,0.651,1.601
2001-01-10,0.297,-0.027,0.12,0.79,1.751
2001-01-11,-0.033,-0.35,-0.192,0.779,1.898
2001-01-12,-0.21,-0.616,-0.348,0.404,1.468
2001-01-13,-0.423,-0.945,-0.525,0.076,1.149
2001-01-14,-0.479,-1.061,-0.593,-0.075,0.806
2001-01-15,-0.483,-1.061,-0.599,-0.298,0.537
2001-01-16,-0.464,-1.014,-0.638,-0.2,0.758
2001-01-17,-0.371,-0.922,-0.652,-0.126,0.826
2001-01-18,-0.454,-0.959,-0.683,-0.075,1.056
2001-01-19,-0.551,-1.047,-0.758,-0.006,1.148
2001-01-20,-0.531,-1.026,-0.792,-0.043,1.116
2001-01-21,-0.655,-1.082,-0.865,0.106,1.248
2001-01-22,-0.932,-1.209,-1.091,0.229,1.382
2001-01-23,-0.995,-1.274,-1.119,-0.065,1.132
2001-01-24,-0.992,-1.27,-1.142,-0.288,0.83
2001-01-25,-0.936,-1.194,-1.073,-0.183,0.968
2001-01-26,-0.896,-1.091,-0.959,0.018,1.125
2001-01-27,-0.828,-0.981,-0.826,0.23,1.317
2001-01-28,-0.864,-0.984,-0.769,0.361,1.38
2001-01-29,-1.053,-1.158,-0.86,0.369,1.541
2001-01-30,-1.11,-1.251,-0.957,0.229,1.348
2001-01-31,-1.056,-1.264,-1.033,-0.074,0.851
2001-02-01,-1.086,-1.244,-1.057,-0.056,0.847
2001-02-02,-1.08,-1.179,-1.013,0.087,0.953
2001-02-03,-1.039,-1.127,-0.945,0.212,1.123
2001-02-04,-1.045,-1.137,-0.875,0.281,1.222
2001-02-05,-1.003,-1.164,-0.851,0.295,1.271
2001-02-06,-1.093,-1.282,-1.009,0.295,0.995
2001-02-07,-1.246,-1.323,-1.222,0.088,0.94
2001-02-08,-1.222,-1.343,-1.294,-0.553,0.419
2001-02-09,-1.205,-1.348,-1.278,-0.713,0.095
2001-02-10,-1.193,-1.33,-1.285,-0.751,-0.009
2001-02-11,-1.154,-1.349,-1.368,-1.197,-0.815
2001-02-12,-1.14,-1.336,-1.349,-1.286,-1.088
2001-02-13,-1.151,-1.321,-1.341,-1.312,-1.121
2001-02-14,-1.143,-1.279,-1.316,-1.288,-1.007
2001-02-15,-1.121,-1.248,-1.288,-1.274,-0.945
2001-02-16,-1.098,-1.229,-1.272,-1.284,-0.962
2001-02-17,-1.085,-1.209,-1.262,-1.244,-0.729
2001-02-18,-1.096,-1.203,-1.25,-1.288,-0.894
2001-02-19,-1.085,-1.188,-1.233,-1.318,-1.077
2001-02-20,-1.067,-1.165,-1.218,-1.348,-1.198
