"Date","66 m","78 m","92 m","110 m","131 m","156 m","186 m","266 m","380 m"
2022-01-21,3.774,3.93,3.89,4.274,4.805,5.034,6.172,7.047,6.341
2022-01-22,3.761,3.91,3.876,4.27,4.785,4.99,6.15,7.095,6.347
2022-01-23,3.755,3.938,3.86,4.272,4.78,4.98,6.139,7.11,6.343
2022-01-24,3.751,3.944,3.828,4.228,4.75,4.964,6.132,7.111,6.356
2022-01-25,3.742,3.942,3.799,4.202,4.726,4.946,6.132,7.117,6.374
2022-01-26,3.741,3.936,3.784,4.181,4.705,4.936,6.129,7.134,6.377
2022-01-27,3.735,3.929,3.774,4.169,4.697,4.936,6.097,7.117,6.381
2022-01-28,3.744,3.937,3.782,4.19,4.7,4.955,6.074,7.112,6.391
2022-01-29,3.753,3.926,3.779,4.17,4.691,4.945,6.018,7.067,6.404
2022-01-30,3.745,3.911,3.808,4.227,4.748,5.021,6.082,7.092,6.402
2022-01-31,3.745,3.893,3.833,4.216,4.766,5.035,6.102,7.054,6.407
2022-02-01,3.739,3.867,3.821,4.252,4.746,5.033,6.108,7.074,6.443
2022-02-02,3.758,3.89,3.839,4.246,4.727,4.98,6.032,7.023,6.439
2022-02-03,3.763,3.905,3.862,4.274,4.721,4.996,5.986,6.973,6.441
2022-02-04,3.766,3.903,3.829,4.234,4.689,4.969,5.961,6.933,6.475
2022-02-05,3.76,3.9,3.858,4.259,4.747,5.016,6.079,6.995,6.462
2022-02-06,3.763,3.931,3.96,4.302,4.835,5.067,6.262,7.054,6.44
2022-02-07,3.759,3.929,3.908,4.313,4.791,5.017,6.183,7.078,6.434
2022-02-08,3.773,3.936,3.893,4.307,4.762,4.99,6.111,7.067,6.436
2022-02-09,3.751,3.892,3.884,4.322,4.772,5.01,6.124,7.106,6.458
2022-02-10,3.792,3.929,3.921,4.309,4.776,5.025,6.14,7.098,6.472
2022-02-11,3.788,3.919,3.875,4.323,4.751,5.01,6.125,7.143,6.49
2022-02-12,3.842,3.961,3.862,4.302,4.729,4.989,6.072,7.138,6.5
2022-02-13,3.858,3.962,3.859,4.331,4.736,5.02,6.07,7.171,6.514
2022-02-14,3.874,3.99,3.855,4.33,4.746,5.016,6.054,7.191,6.531
2022-02-15,3.859,3.972,3.865,4.371,4.792,5.054,6.069,7.228,6.511
2022-02-16,3.861,3.994,3.87,4.37,4.807,5.049,6.054,7.205,6.53
2022-02-17,3.864,4.02,3.889,4.368,4.773,5.02,6.001,7.16,6.569
2022-02-18,3.918,4.07,3.869,4.324,4.72,4.965,5.827,7.033,6.606
2022-02-19,3.94,4.064,3.849,4.323,4.658,4.931,5.623,6.987,6.652
2022-02-20,3.926,4.045,3.806,4.314,4.622,4.933,5.599,7.008,6.638
2022-02-21,3.912,4.06,3.78,4.256,4.586,4.877,5.599,6.929,6.622
2022-02-22,3.884,4.01,3.704,4.192,4.519,4.806,5.517,6.894,6.637
2022-02-23,3.818,3.911,3.634,4.151,4.485,4.773,5.548,6.959,6.616
2022-02-24,3.845,3.923,3.682,4.123,4.475,4.72,5.593,6.944,6.581
2022-02-25,3.786,3.899,3.678,4.146,4.464,4.676,5.505,6.937,6.603
2022-02-26,3.787,3.93,3.649,4.15,4.472,4.64,5.4,6.887,6.577
2022-02-27,3.765,3.883,3.648,4.138,4.474,4.644,5.34,6.784,6.568
2022-02-28,3.71,3.811,3.589,4.091,4.462,4.645,5.395,6.741,6.564
2022-03-01,3.645,3.766,3.569,4.057,4.452,4.622,5.495,6.765,6.539
2022-03-02,3.609,3.754,3.533,4.045,4.432,4.596,5.409,6.748,6.523
2022-03-03,3.591,3.684,3.512,4.012,4.465,4.644,5.478,6.747,6.496
2022-03-04,3.479,3.583,3.508,4.002,4.498,4.667,5.573,6.762,6.482
2022-03-05,3.458,3.537,3.504,3.992,4.529,4.697,5.666,6.778,6.453
2022-03-06,3.396,3.484,3.544,3.995,4.542,4.7,5.639,6.789,6.421
2022-03-07,3.306,3.358,3.608,4.042,4.616,4.766,5.694,6.832,6.389
2022-03-08,3.346,3.315,3.691,4.091,4.704,4.896,5.917,6.873,6.344
2022-03-09,3.378,3.402,3.757,4.143,4.736,5.023,6.074,6.849,6.275
2022-03-10,3.196,3.41,3.824,4.206,4.771,4.966,5.844,6.812,6.264
2022-03-11,3.343,3.537,3.819,4.192,4.758,4.981,5.759,6.779,6.211
2022-03-12,3.222,3.265,3.88,4.214,4.803,5.053,5.802,6.789,6.181
2022-03-13,3.191,3.16,3.964,4.245,4.855,5.169,5.976,6.82,6.144
2022-03-14,3.302,3.622,4.025,4.277,4.829,5.202,6.05,6.772,5.973
2022-03-15,3.175,3.388,3.966,4.281,4.822,5.16,5.909,6.775,5.995
2022-03-16,3.289,3.668,3.925,4.274,4.775,5.083,5.744,6.767,5.936
2022-03-17,3.227,3.441,3.995,4.315,4.829,5.152,5.848,6.796,5.955
2022-03-18,3.277,3.55,3.989,4.318,4.855,5.177,5.947,6.83,5.928
2022-03-19,3.294,3.583,4.044,4.33,4.858,5.194,6.02,6.872,5.92
2022-03-20,3.276,3.577,4.033,4.338,4.873,5.201,6.078,6.936,5.93
2022-03-21,3.222,3.519,4.084,4.399,4.961,5.302,6.294,6.995,5.925
2022-03-22,3.269,3.665,4.093,4.421,4.979,5.353,6.421,7.038,5.894
2022-03-23,3.325,3.824,4.083,4.425,4.922,5.318,6.31,7.048,5.858
2022-03-24,3.369,3.824,4.097,4.459,4.928,5.31,6.258,7.108,5.85
2022-03-25,3.418,3.786,4.22,4.512,4.995,5.355,6.305,7.26,5.853
2022-03-26,3.372,3.609,4.351,4.579,5.173,5.539,6.667,7.382,5.845
2022-03-27,3.426,3.646,4.413,4.621,5.296,5.751,7.191,7.461,5.82
2022-03-28,3.409,3.634,4.411,4.652,5.323,5.852,7.383,7.492,5.815
2022-03-29,3.432,3.733,4.385,4.666,5.318,5.864,7.479,7.489,5.778
2022-03-30,3.405,3.703,4.407,4.705,5.35,5.98,7.609,7.472,5.758
2022-03-31,3.393,3.73,4.342,4.67,5.319,5.935,7.57,7.459,5.729
2022-04-01,3.368,3.68,4.3,4.65,5.297,5.802,7.491,7.461,5.727
2022-04-02,3.309,3.522,4.364,4.686,5.36,5.888,7.49,7.5,5.726
2022-04-03,3.327,3.565,4.386,4.684,5.327,5.945,7.448,7.553,5.706
2022-04-04,3.312,3.561,4.35,4.622,5.261,5.805,7.414,7.572,5.711
2022-04-05,3.218,3.324,4.441,4.678,5.424,5.995,7.537,7.571,5.706
2022-04-06,3.243,3.338,4.481,4.689,5.465,6.175,7.607,7.629,5.696
2022-04-07,3.185,3.216,4.463,4.707,5.55,6.189,7.812,7.727,5.745
2022-04-08,3.135,3.131,4.515,4.779,5.679,6.454,8.048,7.802,5.77
2022-04-09,3.119,3.114,4.535,4.836,5.809,6.729,8.305,7.881,5.807
2022-04-10,3.146,3.179,4.588,4.939,5.961,7,8.525,7.909,5.834
2022-04-11,3.185,3.353,4.607,4.993,6.029,7.073,8.682,7.903,5.866
2022-04-12,3.288,3.516,4.587,5.044,6.064,7.136,8.813,7.923,5.907
2022-04-13,3.227,3.584,4.613,5.124,6.17,7.243,8.94,7.971,5.96
2022-04-14,3.27,3.629,4.572,5.155,6.237,7.323,8.984,8.034,5.974
2022-04-15,3.266,3.598,4.561,5.199,6.28,7.38,9.014,8.075,6.002
2022-04-16,3.305,3.591,4.551,5.236,6.303,7.42,9.029,8.112,6.01
2022-04-17,3.387,3.659,4.541,5.215,6.234,7.381,9.011,8.142,6.018
2022-04-18,3.285,3.633,4.497,5.204,6.154,7.347,8.966,8.124,6.022
2022-04-19,3.292,3.709,4.428,5.155,6.105,7.276,8.922,8.097,6.012
2022-04-20,3.162,3.58,4.419,5.181,6.129,7.293,8.872,8.101,6.012
2022-04-21,3.297,3.588,4.353,5.18,6.118,7.233,8.827,8.075,5.979
2022-04-22,3.217,3.623,4.309,5.11,6.02,7.154,8.769,8.015,6.005
2022-04-23,3.245,3.602,4.264,5.088,5.948,7.106,8.693,7.969,5.972
2022-04-24,3.199,3.577,4.195,5.009,5.914,7.042,8.631,7.933,5.972
2022-04-25,3.142,3.525,4.143,4.994,5.913,7.022,8.585,7.883,5.973
2022-04-26,3.125,3.47,4.042,4.987,5.952,6.976,8.511,7.875,5.985
2022-04-27,3.12,3.447,3.955,4.935,5.89,6.901,8.447,7.871,5.995
2022-04-28,3.083,3.416,3.882,4.887,5.848,6.861,8.398,7.835,6.033
2022-04-29,3.072,3.399,3.867,4.878,5.869,6.834,8.296,7.797,6.041
2022-04-30,3.096,3.402,3.872,4.849,5.894,6.837,8.2,7.767,6.042
2022-05-01,3.144,3.395,3.839,4.809,5.862,6.838,8.179,7.741,6.047
2022-05-02,3.116,3.38,3.769,4.764,5.796,6.795,8.259,7.724,6.069
2022-05-03,3.107,3.357,3.721,4.765,5.764,6.76,8.287,7.722,6.099
2022-05-04,3.073,3.332,3.688,4.766,5.735,6.728,8.307,7.723,6.135
2022-05-05,3.082,3.316,3.629,4.749,5.714,6.711,8.277,7.719,6.155
2022-05-06,3.081,3.302,3.552,4.697,5.666,6.689,8.239,7.702,6.169
2022-05-07,3.046,3.283,3.457,4.651,5.611,6.667,8.192,7.675,6.174
2022-05-08,2.979,3.254,3.336,4.602,5.577,6.611,8.143,7.657,6.171
2022-05-09,2.917,3.232,3.184,4.515,5.523,6.526,8.075,7.656,6.169
2022-05-10,2.89,3.194,3.057,4.413,5.449,6.449,7.986,7.663,6.182
2022-05-11,2.899,3.147,2.92,4.314,5.371,6.358,7.862,7.661,6.193
2022-05-12,2.88,3.112,2.783,4.215,5.323,6.301,7.742,7.636,6.186
2022-05-13,2.796,3.042,2.672,4.138,5.27,6.259,7.699,7.608,6.175
2022-05-14,2.806,2.988,2.545,4.047,5.182,6.195,7.639,7.588,6.143
2022-05-15,2.708,2.893,2.472,3.956,5.136,6.142,7.608,7.567,6.122
2022-05-16,2.651,2.826,2.391,3.896,5.1,6.106,7.603,7.555,6.112
2022-05-17,2.55,2.737,2.312,3.822,5.06,6.089,7.614,7.544,6.101
2022-05-18,2.533,2.634,2.269,3.778,5.041,6.1,7.618,7.537,6.098
2022-05-19,2.636,2.594,2.271,3.748,5.013,6.082,7.532,7.522,6.087
2022-05-20,2.543,2.54,2.279,3.787,5.021,6.044,7.618,7.492,6.089
2022-05-21,2.491,2.518,2.281,3.847,5.071,6.02,7.639,7.466,6.083
2022-05-22,2.492,2.481,2.274,3.861,5.101,5.989,7.619,7.451,6.071
2022-05-23,2.46,2.423,2.252,3.849,5.108,5.959,7.61,7.435,6.069
2022-05-24,2.46,2.39,2.218,3.831,5.095,5.947,7.597,7.415,6.061
2022-05-25,2.405,2.371,2.185,3.84,5.063,5.914,7.593,7.406,6.059
2022-05-26,2.465,2.415,2.168,3.773,5.036,5.853,7.55,7.383,6.048
2022-05-27,2.384,2.421,2.189,3.792,5.036,5.87,7.526,7.352,6.055
2022-05-28,2.449,2.487,2.203,3.758,5.033,5.893,7.434,7.306,6.049
2022-05-29,2.458,2.566,2.296,3.761,4.984,5.922,7.393,7.312,6.045
2022-05-30,2.456,2.636,2.34,3.774,4.932,5.895,7.427,7.305,6.036
2022-05-31,2.349,2.643,2.351,3.875,4.947,5.936,7.44,7.297,6.04
2022-06-01,2.345,2.657,2.37,3.947,5.035,5.919,7.44,7.291,6.026
2022-06-02,2.312,2.688,2.467,4.066,5.15,5.891,7.438,7.29,6.024
2022-06-03,2.236,2.63,2.709,4.144,5.182,5.878,7.39,7.3,6.019
2022-06-04,2.205,2.56,2.7,4.11,5.221,5.933,7.391,7.329,6.018
2022-06-05,2.224,2.549,2.549,3.961,5.178,5.868,7.381,7.351,5.995
2022-06-06,2.149,2.526,2.522,3.905,5.111,5.838,7.366,7.385,5.983
2022-06-07,2.043,2.466,2.517,3.894,5.107,5.826,7.359,7.404,5.971
2022-06-08,1.948,2.381,2.529,3.936,5.145,5.823,7.378,7.41,5.963
2022-06-09,1.927,2.342,2.523,3.939,5.144,5.796,7.375,7.411,5.957
2022-06-10,1.891,2.299,2.553,3.953,5.12,5.8,7.368,7.403,5.958
2022-06-11,1.97,2.304,2.559,3.939,5.106,5.779,7.327,7.378,5.944
2022-06-12,2.041,2.352,2.554,3.962,5.125,5.75,7.27,7.33,5.925
2022-06-13,2.045,2.339,2.694,4.084,5.158,5.737,7.223,7.307,5.926
2022-06-14,2.045,2.3,2.797,4.134,5.182,5.721,7.191,7.301,5.916
2022-06-15,1.937,2.216,2.984,4.252,5.249,5.74,7.215,7.288,5.918
2022-06-16,2.05,2.349,2.92,4.217,5.304,5.71,7.199,7.263,5.905
2022-06-17,2.005,2.361,2.888,4.177,5.242,5.709,7.199,7.234,5.875
2022-06-18,1.949,2.353,2.912,4.204,5.234,5.722,7.193,7.203,5.843
2022-06-19,1.909,2.337,3.014,4.308,5.31,5.788,7.218,7.154,5.799
2022-06-20,1.852,2.351,3.113,4.432,5.461,5.974,7.313,7.111,5.777
2022-06-21,1.904,2.4,3.163,4.508,5.517,6.081,7.341,7.114,5.765
2022-06-22,1.914,2.426,3.207,4.571,5.498,6.079,7.294,7.15,5.767
2022-06-23,1.93,2.433,3.277,4.61,5.533,6.093,7.289,7.182,5.77
2022-06-24,1.96,2.428,3.297,4.598,5.55,6.111,7.323,7.186,5.759
2022-06-25,1.966,2.419,3.295,4.572,5.538,6.128,7.357,7.166,5.741
2022-06-26,2.012,2.433,3.307,4.556,5.526,6.146,7.385,7.107,5.697
2022-06-27,2.01,2.447,3.291,4.578,5.542,6.16,7.381,7.066,5.672
2022-06-28,2.053,2.489,3.276,4.575,5.545,6.148,7.334,7.022,5.635
2022-06-29,2.081,2.532,3.298,4.591,5.551,6.151,7.258,6.967,5.582
2022-06-30,2.094,2.559,3.352,4.624,5.58,6.181,7.233,6.944,5.551
2022-07-01,2.109,2.575,3.371,4.622,5.584,6.19,7.232,6.945,5.526
2022-07-02,2.12,2.592,3.383,4.619,5.573,6.204,7.243,6.95,5.503
2022-07-03,2.162,2.607,3.373,4.597,5.565,6.21,7.272,6.925,5.467
2022-07-04,2.185,2.634,3.368,4.6,5.569,6.223,7.306,6.857,5.416
2022-07-05,2.205,2.658,3.385,4.62,5.591,6.234,7.344,6.814,5.394
2022-07-06,2.21,2.687,3.401,4.641,5.609,6.235,7.355,6.759,5.371
2022-07-07,2.207,2.709,3.417,4.663,5.65,6.244,7.365,6.728,5.367
2022-07-08,2.278,2.758,3.401,4.625,5.632,6.214,7.304,6.693,5.345
2022-07-09,2.273,2.782,3.434,4.671,5.64,6.232,7.278,6.714,5.357
2022-07-10,2.342,2.823,3.404,4.61,5.633,6.206,7.24,6.698,5.358
2022-07-11,2.387,2.863,3.387,4.569,5.587,6.186,7.147,6.656,5.351
2022-07-12,2.413,2.882,3.382,4.559,5.573,6.179,7.086,6.617,5.354
2022-07-13,2.429,2.9,3.372,4.556,5.56,6.163,7.023,6.544,5.354
2022-07-14,2.467,2.917,3.358,4.527,5.544,6.148,6.947,6.442,5.347
2022-07-15,2.444,2.903,3.377,4.575,5.572,6.167,6.959,6.353,5.351
2022-07-16,2.487,2.914,3.377,4.551,5.59,6.152,6.985,6.276,5.36
2022-07-17,2.497,2.93,3.379,4.562,5.578,6.154,6.958,6.207,5.355
2022-07-18,2.531,2.958,3.38,4.556,5.575,6.152,6.925,6.19,5.346
2022-07-19,2.552,2.994,3.394,4.574,5.56,6.142,6.867,6.17,5.317
2022-07-20,2.549,2.987,3.447,4.618,5.588,6.175,6.875,6.196,5.291
2022-07-21,2.602,3.005,3.415,4.595,5.613,6.171,6.902,6.237,5.242
2022-07-22,2.557,3.018,3.516,4.678,5.613,6.204,6.937,6.311,5.199
2022-07-23,2.548,2.996,3.533,4.671,5.669,6.251,7.049,6.486,5.202
2022-07-24,2.544,2.988,3.471,4.621,5.664,6.254,7.136,6.54,5.201
2022-07-25,2.556,2.986,3.434,4.581,5.648,6.256,7.222,6.528,5.216
2022-07-26,2.587,2.983,3.403,4.543,5.616,6.23,7.255,6.434,5.236
2022-07-27,2.597,2.994,3.383,4.55,5.593,6.18,7.25,6.206,5.235
2022-07-28,2.612,3.013,3.393,4.584,5.622,6.157,7.244,6.065,5.246
2022-07-29,2.59,3.024,3.426,4.627,5.647,6.152,7.242,6.038,5.271
2022-07-30,2.598,3.03,3.44,4.62,5.671,6.156,7.238,6.109,5.286
2022-07-31,2.618,3.048,3.418,4.582,5.646,6.141,7.225,6.083,5.234
2022-08-01,2.629,3.072,3.438,4.605,5.63,6.134,7.218,6.031,5.18
2022-08-02,2.634,3.087,3.487,4.645,5.655,6.15,7.225,6.062,5.164
2022-08-03,2.639,3.09,3.507,4.648,5.663,6.163,7.232,6.124,5.145
2022-08-04,2.649,3.094,3.496,4.638,5.69,6.168,7.262,6.117,5.115
2022-08-05,2.664,3.103,3.482,4.627,5.693,6.184,7.286,6.209,5.128
2022-08-06,2.678,3.112,3.478,4.616,5.667,6.171,7.324,6.193,5.097
2022-08-07,2.687,3.127,3.5,4.654,5.705,6.192,7.355,6.231,5.105
2022-08-08,2.717,3.132,3.491,4.623,5.707,6.18,7.389,6.219,5.061
2022-08-09,2.688,3.144,3.536,4.702,5.74,6.222,7.423,6.243,5.069
2022-08-10,2.723,3.17,3.572,4.734,5.84,6.282,7.439,6.389,5.105
2022-08-11,2.744,3.211,3.594,4.772,5.882,6.377,7.461,6.627,5.173
2022-08-12,2.798,3.224,3.598,4.742,5.869,6.433,7.461,6.821,5.218
2022-08-13,2.82,3.218,3.59,4.755,5.857,6.461,7.453,6.92,5.269
2022-08-14,2.837,3.22,3.602,4.783,5.864,6.471,7.463,7.015,5.332
2022-08-15,2.867,3.222,3.613,4.803,5.897,6.495,7.567,7.096,5.396
2022-08-16,2.881,3.232,3.613,4.804,5.887,6.463,7.582,7.1,5.426
2022-08-17,2.88,3.252,3.653,4.837,5.876,6.431,7.372,7.203,5.475
2022-08-18,2.89,3.254,3.722,4.878,5.902,6.467,7.427,7.324,5.517
2022-08-19,2.898,3.245,3.684,4.839,5.913,6.469,7.634,7.408,5.539
2022-08-20,2.928,3.248,3.664,4.783,5.849,6.442,7.788,7.383,5.507
2022-08-21,2.947,3.261,3.656,4.822,5.856,6.432,8.039,7.293,5.514
2022-08-22,2.969,3.28,3.674,4.851,5.892,6.417,8.315,7.222,5.526
2022-08-23,2.978,3.298,3.687,4.856,5.904,6.402,8.469,7.059,5.488
2022-08-24,2.993,3.306,3.701,4.857,5.936,6.451,8.61,6.888,5.458
2022-08-25,3.016,3.32,3.675,4.816,5.926,6.41,8.602,6.684,5.407
2022-08-26,3.043,3.358,3.693,4.866,5.967,6.464,8.591,6.483,5.402
2022-08-27,3.072,3.399,3.714,4.899,6.028,6.499,8.636,6.412,5.4
2022-08-28,3.107,3.439,3.739,4.914,6.035,6.506,8.725,6.443,5.399
2022-08-29,3.134,3.488,3.769,4.943,6.044,6.522,8.765,6.506,5.41
2022-08-30,3.15,3.528,3.771,4.951,6.042,6.513,8.715,6.572,5.423
2022-08-31,3.16,3.561,3.76,4.951,6.049,6.525,8.706,6.648,5.445
2022-09-01,3.168,3.591,3.745,4.963,6.065,6.556,8.745,6.716,5.474
2022-09-02,3.202,3.61,3.715,4.961,6.113,6.614,9.014,6.736,5.504
2022-09-03,3.219,3.611,3.671,4.976,6.113,6.635,9.026,6.692,5.52
2022-09-04,3.224,3.636,3.669,5.032,6.176,6.705,9.038,6.686,5.545
2022-09-05,3.228,3.639,3.657,5.034,6.225,6.75,9.033,6.682,5.56
2022-09-06,3.238,3.654,3.68,5.091,6.324,6.848,8.97,6.679,5.576
2022-09-07,3.263,3.666,3.696,5.107,6.441,6.938,8.87,6.695,5.606
2022-09-08,3.302,3.692,3.701,5.109,6.517,7.023,8.749,6.726,5.633
2022-09-09,3.346,3.714,3.697,5.093,6.52,7.059,8.696,6.755,5.652
2022-09-10,3.358,3.708,3.68,5.052,6.366,6.902,8.78,6.832,5.663
2022-09-11,3.337,3.686,3.711,5.031,6.265,6.664,8.667,6.995,5.69
2022-09-12,3.346,3.624,3.685,4.88,6.222,6.517,7.932,7.128,5.723
2022-09-13,3.336,3.6,3.664,4.843,6.024,6.404,7.533,7.212,5.741
2022-09-14,3.331,3.555,3.578,4.721,5.855,6.336,7.578,7.238,5.763
2022-09-15,3.335,3.522,3.442,4.556,5.735,6.297,7.548,7.201,5.801
2022-09-16,3.35,3.458,3.278,4.376,5.624,6.243,7.426,7.085,5.818
2022-09-17,3.319,3.402,3.209,4.282,5.608,6.112,7.059,6.96,5.807
2022-09-18,3.253,3.428,3.515,4.459,5.558,6.114,6.905,7.004,5.799
2022-09-19,3.206,3.443,3.61,4.521,5.55,6.226,6.991,7.117,5.805
2022-09-20,3.198,3.558,3.512,4.493,5.667,6.238,7.08,7.147,5.82
2022-09-21,3.219,3.61,3.381,4.416,5.687,6.149,7.085,7.11,5.842
2022-09-22,3.25,3.684,3.535,4.535,5.718,6.192,7.239,7.04,5.87
2022-09-23,3.219,3.576,3.584,4.584,5.687,6.266,7.601,6.943,5.904
2022-09-24,3.258,3.596,3.669,4.697,5.799,6.357,7.837,6.741,5.953
2022-09-25,3.519,4.155,4.219,5.145,6.713,7.305,7.766,6.286,6.007
2022-09-26,3.204,3.774,3.919,4.824,6.135,6.88,7.58,6.134,6.024
2022-09-27,3.218,3.593,3.791,4.719,5.922,6.598,8.075,6.051,6.052
2022-09-28,3.344,3.607,3.716,4.744,6.097,6.886,8.386,6.052,6.069
2022-09-29,3.4,3.681,3.722,4.786,6.184,7.077,8.567,6.084,6.068
2022-09-30,3.428,3.738,3.712,4.848,6.188,7.229,8.665,6.089,6.06
2022-10-01,3.445,3.719,3.721,4.845,6.114,7.174,8.706,6.154,6.059
2022-10-02,3.415,3.66,3.746,4.855,6.098,7.096,8.695,6.155,6.06
2022-10-03,3.388,3.661,3.774,4.895,6.193,7.112,8.755,6.171,6.056
2022-10-04,3.356,3.66,3.763,4.877,6.228,7.074,8.786,6.274,6.057
2022-10-05,3.329,3.629,3.685,4.795,6.147,6.989,8.696,6.412,6.069
2022-10-06,3.301,3.611,3.607,4.766,6.103,6.968,8.567,6.521,6.074
2022-10-07,3.294,3.607,3.56,4.738,6.074,6.985,8.604,6.651,6.09
